,cust,grade
430,M015013029,General
431,M015042346,VIP
432,M015046115,General
433,M015048162,General
434,M015093664,General
435,M015178683,General
436,M015213177,General
437,M015257959,General
438,M015281716,General
439,M015325650,VIP
440,M015329772,General
441,M015353566,General
442,M015393009,VIP
443,M015430351,VIP
444,M015471763,VIP
445,M015481747,General
446,M015491572,General
447,M015518376,General
448,M015539270,VIP
449,M015550030,General
450,M015551355,General
451,M015584897,VIP
452,M015605443,General
453,M015614508,General
454,M015639704,General
455,M015650164,VIP
456,M015674072,General
457,M015674351,General
458,M015675093,General
459,M015750998,VIP
460,M015851779,VIP
461,M015853886,General
462,M015868074,General
463,M015892198,VIP
464,M015999293,General
465,M016004710,VIP
466,M016061527,General
467,M016070523,VIP
468,M016178075,General
469,M016223791,General
470,M016296091,General
471,M016309518,General
472,M016312977,VIP
473,M016327288,General
474,M016387478,General
475,M016404339,MVG
476,M016456656,VIP
477,M016516620,General
478,M016532707,General
479,M016538312,General
480,M016546099,General
481,M016570251,VIP
482,M016614801,General
483,M016631704,General
484,M016670146,General
485,M016695423,General
486,M016698917,General
487,M016707093,General
488,M016713031,General
489,M016751224,VIP
490,M016764179,MVG
491,M016803268,VIP
492,M016813663,General
493,M016815450,General
494,M016822877,VIP
495,M016827017,General
496,M016843749,VIP
497,M016930208,General
498,M016938458,General
499,M016999679,General
500,M017031701,General
501,M017047083,General
502,M017054670,General
503,M017162881,General
504,M017173158,General
505,M017209259,General
506,M017248460,VIP
507,M017256273,General
508,M017267996,General
509,M017276201,General
510,M017298162,General
511,M017367216,General
512,M017401296,VIP
513,M017410771,General
514,M017453314,General
515,M017524395,General
516,M017535243,General
517,M017593881,General
518,M017599071,General
519,M017628008,General
520,M017676375,General
521,M017696878,General
522,M017726470,General
523,M017824413,General
524,M017842861,General
525,M017850235,VIP
526,M017850981,General
527,M017866824,General
528,M017874504,General
529,M018025268,General
530,M018036249,General
531,M018068911,General
532,M018078477,General
533,M018111784,General
534,M018128716,General
535,M018155432,General
536,M018156864,General
537,M018184823,VIP
538,M018261698,VIP
539,M018268015,General
540,M018268736,General
541,M018305555,General
542,M018340302,VIP
543,M018342371,General
544,M018348504,General
545,M018349692,General
546,M018360997,General
547,M018442661,General
548,M018522655,General
549,M018534178,General
550,M018701446,General
551,M018707229,General
552,M018731304,General
553,M018753576,General
554,M018754345,General
555,M018766425,General
556,M018808846,General
557,M018819867,General
558,M018846875,General
559,M018901562,General
560,M018935019,General
561,M019031965,General
562,M019052832,General
563,M019126926,General
564,M019134553,General
565,M019156129,VIP
566,M019170381,General
567,M019185495,General
568,M019237374,General
569,M019308314,General
570,M019337379,General
571,M019386820,MVG
572,M019397226,General
573,M019435246,General
574,M019452996,General
575,M019502719,VIP
576,M019514257,General
577,M019533835,General
578,M019613659,General
579,M019641016,General
580,M019728616,VIP
581,M019745851,General
582,M019821842,General
583,M019822754,VIP
584,M019831429,General
585,M019905252,MVG
586,M019989627,VIP
587,M020007167,General
588,M020014641,General
589,M020017034,General
590,M020072450,General
591,M020104311,VIP
592,M020136767,General
593,M020145678,VIP
594,M020155133,General
595,M020188561,General
596,M020192002,General
597,M020193064,General
598,M020223570,General
599,M020243395,General
600,M020274058,General
601,M020367923,General
602,M020401799,General
603,M020441037,General
604,M020510636,General
605,M020511179,General
606,M020530140,VIP
607,M020535871,General
608,M020552991,General
609,M020573391,VIP
610,M020574683,General
611,M020639299,General
612,M020657632,General
613,M020664921,MVG
614,M020675585,General
615,M020700819,VIP
616,M020734806,General
617,M020795432,VIP
618,M020834722,General
619,M020835170,General
620,M020850597,General
621,M020870342,VIP
622,M020881880,General
623,M020900840,General
624,M020915056,General
625,M020920877,General
626,M020941854,General
627,M020969961,VIP
628,M020977961,VIP
629,M020987809,General
630,M021025382,General
631,M021109366,General
632,M021121027,VIP
633,M021121896,MVG
634,M021136955,VIP
635,M021189164,General
636,M021191866,VIP
637,M021198377,General
638,M021297222,General
639,M021317194,VIP
640,M021341630,General
641,M021362980,General
642,M021395850,General
643,M021396553,General
644,M021474932,General
645,M021494385,General
646,M021495045,VIP
647,M021507456,VIP
648,M021533416,General
649,M021569505,General
650,M021576921,VIP
651,M021577879,VIP
652,M021593104,General
653,M021677178,VIP
654,M021715268,General
655,M021735870,General
656,M021772399,VIP
657,M021817063,VIP
658,M021824776,General
659,M021847345,General
660,M021920032,General
661,M021936535,General
662,M021951856,General
663,M022068499,General
664,M022073107,General
665,M022075031,General
666,M022102008,MVG
667,M022108117,General
668,M022143999,VIP
669,M022153719,General
670,M022193612,VIP
671,M022201881,VIP
672,M022273469,General
673,M022308297,General
674,M022342109,General
675,M022366822,General
676,M022402686,VIP
677,M022417877,General
678,M022469976,VIP
679,M022498408,General
680,M022554382,General
681,M022588376,General
682,M022593460,General
683,M022594017,General
684,M022648018,General
685,M022761259,General
686,M022778821,General
687,M022819899,General
688,M022824889,General
689,M022877164,General
690,M022878298,General
691,M022900850,VIP
692,M022901426,General
693,M022937718,General
694,M022965652,General
695,M023047390,MVG
696,M023095066,General
697,M023118090,General
698,M023140765,VIP
699,M023151514,VIP
700,M023161374,General
701,M023220838,VIP
702,M023259393,General
703,M023302378,General
704,M023307270,General
705,M023327832,General
706,M023350361,VIP
707,M023391241,General
708,M023425268,General
709,M023448256,General
710,M023505680,General
711,M023524803,General
712,M023543251,General
713,M023568421,General
714,M023577934,VIP
715,M023605710,VIP
716,M023634056,General
717,M023780709,MVG
718,M023783485,VIP
719,M023794546,General
720,M023903382,General
721,M023904016,General
722,M024021313,General
723,M024043426,General
724,M024046993,General
725,M024053870,VIP
726,M024101254,VIP
727,M024115249,General
728,M024139053,VIP
729,M024196345,General
730,M024198905,VIP
731,M024226272,VIP
732,M024255025,VIP
733,M024323210,General
734,M024350907,General
735,M024360607,General
736,M024373763,General
737,M024460495,General
738,M024520217,VIP
739,M024539218,General
740,M024617970,MVG
741,M024659867,General
742,M024667485,VIP
743,M024680744,General
744,M024704619,General
745,M024705259,General
746,M024707748,General
747,M024729877,General
748,M024773016,General
749,M024807991,General
750,M024834869,General
751,M024892593,General
752,M024953107,General
753,M024955555,General
754,M024971109,VIP
755,M024975458,General
756,M025002452,General
757,M025020244,General
758,M025031557,General
759,M025054375,General
760,M025106048,General
761,M025168868,General
762,M025179887,General
763,M025187259,General
764,M025301986,VIP
765,M025305485,General
766,M025464904,General
767,M025467166,VIP
768,M025523533,General
769,M025530406,General
770,M025561619,General
771,M025633773,General
772,M025636972,General
773,M025642777,General
774,M025657860,General
775,M025688454,VIP
776,M025713424,General
777,M025724477,VIP
778,M025834177,General
779,M025850479,General
780,M025928303,VIP
781,M025931682,General
782,M025945947,General
783,M025977047,General
784,M025990278,General
785,M026084857,General
786,M026140044,General
787,M026148393,General
788,M026188014,General
789,M026227982,General
790,M026274832,General
791,M026355888,General
792,M026406376,General
793,M026407626,General
794,M026446747,General
795,M026451621,General
796,M026481073,General
797,M026483725,General
798,M026489542,General
799,M026524043,VIP
800,M026538330,General
801,M026564713,General
802,M026579002,General
803,M026605333,VIP
804,M026680290,General
805,M026692043,General
806,M026705655,General
807,M026719997,General
808,M026730981,General
809,M026744707,General
810,M026808752,General
811,M026840468,General
812,M026854845,VIP
813,M026861466,General
814,M026871462,General
815,M026904284,General
816,M026917955,General
817,M026927877,MVG
818,M026945106,General
819,M026968183,General
820,M027031630,General
821,M027085418,VIP
822,M027099044,General
823,M027174914,General
824,M027194386,General
825,M027213750,General
826,M027277498,General
827,M027304744,General
828,M027358427,General
829,M027418727,General
830,M027440421,General
831,M027441945,MVG
832,M027483918,General
833,M027521755,VIP
834,M027525051,VIP
835,M027605185,MVG
836,M027647723,General
837,M027709992,General
838,M027721697,General
839,M027745985,General
840,M027755092,General
841,M027769219,General
842,M027782745,General
843,M027801481,General
844,M027897691,General
845,M028027752,VIP
846,M028027876,General
847,M028064953,General
848,M028068841,General
849,M028080825,General
850,M028110926,General
851,M028123213,General
852,M028131322,General
853,M028175841,General
854,M028178592,General
855,M028204215,General
856,M028291764,MVG
857,M028328677,General
858,M028358759,General
859,M028383773,General
860,M028439490,General
861,M028454024,General
862,M028494831,General
863,M028530868,General
864,M028676844,General
865,M028693648,VIP
866,M028793753,General
867,M028811945,General
868,M028828884,General
869,M028872628,VIP
870,M028875906,General
871,M029015400,General
872,M029023456,General
873,M029031283,VIP
874,M029045391,VIP
875,M029065985,General
876,M029098701,MVG
877,M029127236,General
878,M029169536,General
879,M029206865,General
880,M029267611,General
881,M029271593,General
882,M029278038,General
883,M029288128,General
884,M029303850,General
885,M029304628,General
886,M029331815,General
887,M029375271,General
888,M029390229,General
889,M029434140,General
890,M029436227,General
891,M029455769,MVG
892,M029466915,General
893,M029472955,General
894,M029478403,General
895,M029513065,General
896,M029535462,General
897,M029553602,General
898,M029557380,VIP
899,M029587621,General
900,M029625017,MVG
901,M029668918,VIP
902,M029687828,General
903,M029735598,General
904,M029758319,VIP
905,M029877095,General
906,M029892884,General
907,M029905216,General
908,M029921617,General
909,M030035289,General
910,M030043636,General
911,M030085343,General
912,M030122779,General
913,M030146466,General
914,M030195680,General
915,M030238944,VIP
916,M030330113,General
917,M030367292,General
918,M030383189,VIP
919,M030394348,General
920,M030424405,General
921,M030462773,General
922,M030477840,VIP
923,M030561105,General
924,M030573362,General
925,M030608693,General
926,M030716505,General
927,M030751344,General
928,M030809402,General
929,M030815912,General
930,M030872242,General
931,M030879296,General
932,M030915178,General
933,M030918245,General
934,M030919358,General
935,M030959068,General
936,M030971111,General
937,M030996048,General
938,M031007506,General
939,M031044756,General
940,M031051255,General
941,M031064579,VIP
942,M031090387,VIP
943,M031092903,General
944,M031111212,General
945,M031123747,General
946,M031139531,VIP
947,M031140733,General
948,M031193983,General
949,M031310236,VIP
950,M031322959,General
951,M031435620,General
952,M031495462,General
953,M031564686,General
954,M031566764,VIP
955,M031568194,General
956,M031598024,VIP
957,M031604439,General
958,M031642329,General
959,M031662181,General
960,M031687336,General
961,M031700216,VIP
962,M031704059,VIP
963,M031722049,General
964,M031744079,General
965,M031871283,General
966,M031925364,General
967,M031983799,General
968,M032032611,General
969,M032065769,General
970,M032125275,General
971,M032127141,General
972,M032138531,VIP
973,M032178607,General
974,M032229908,VIP
975,M032253053,General
976,M032297192,General
977,M032346209,General
978,M032503405,General
979,M032533648,General
980,M032536059,General
981,M032575952,General
982,M032576038,General
983,M032586356,General
984,M032656591,General
985,M032680934,General
986,M032694772,VIP
987,M032724385,General
988,M032728003,General
989,M032778301,General
990,M032838649,General
991,M032895354,VIP
992,M032911167,General
993,M032951594,General
994,M032979283,General
995,M033099709,General
996,M033156370,General
997,M033212196,VIP
998,M033269717,General
999,M033295256,General
1000,M033329896,General
1001,M033359360,General
1002,M033363000,General
1003,M033447708,General
1004,M033480950,VIP
1005,M033482606,General
1006,M033510547,General
1007,M033586214,General
1008,M033599811,General
1009,M033634119,General
1010,M033704434,General
1011,M033741697,VIP
1012,M033756635,General
1013,M033790951,General
1014,M033806884,General
1015,M033818132,General
1016,M033865209,General
1017,M033889224,General
1018,M033912628,General
1019,M033924307,General
1020,M033954349,General
1021,M033975838,VIP
1022,M033986118,General
1023,M034007696,General
1024,M034043697,General
1025,M034054317,General
1026,M034113210,General
1027,M034122687,General
1028,M034129292,General
1029,M034172556,General
1030,M034192667,General
1031,M034193880,General
1032,M034251158,VIP
1033,M034266454,VIP
1034,M034266932,General
1035,M034298304,VIP
1036,M034343473,VIP
1037,M034346877,General
1038,M034382564,VIP
1039,M034403548,General
1040,M034424610,General
1041,M034436789,General
1042,M034463211,VIP
1043,M034466389,General
1044,M034503770,General
1045,M034534306,General
1046,M034615007,General
1047,M034690181,General
1048,M034724083,General
1049,M034775336,General
1050,M034815737,General
1051,M034857155,General
1052,M034887889,General
1053,M034888674,General
1054,M034908290,VIP
1055,M034936927,MVG
1056,M034964840,General
1057,M034998433,General
1058,M035037103,VIP
1059,M035087727,General
1060,M035100917,General
1061,M035144357,General
1062,M035203114,General
1063,M035253526,General
1064,M035270893,General
1065,M035371925,General
1066,M035414576,General
1067,M035450677,General
1068,M035470647,VIP
1069,M035484548,General
1070,M035502859,MVG
1071,M035547728,VIP
1072,M035550313,General
1073,M035551031,General
1074,M035569171,General
1075,M035569749,General
1076,M035623555,VIP
1077,M035624417,General
1078,M035670981,General
1079,M035733626,General
1080,M035734589,General
1081,M035747703,General
1082,M035851956,General
1083,M035857673,VIP
1084,M035899958,VIP
1085,M035901988,General
1086,M035932685,General
1087,M035934590,General
1088,M035975411,General
1089,M035979715,VIP
1090,M036019761,General
1091,M036028013,VIP
1092,M036038358,General
1093,M036047628,General
1094,M036069351,General
1095,M036071135,VIP
1096,M036125568,General
1097,M036161168,General
1098,M036206413,General
1099,M036218468,VIP
1100,M036361504,General
1101,M036380438,General
1102,M036450833,General
1103,M036526215,General
1104,M036532454,General
1105,M036537409,General
1106,M036640100,General
1107,M036665765,General
1108,M036668648,General
1109,M036670906,VIP
1110,M036742669,General
1111,M036746064,General
1112,M036787846,VIP
1113,M036817156,General
1114,M036850842,General
1115,M036853711,MVG
1116,M036874001,General
1117,M036895978,VIP
1118,M036960692,General
1119,M036973210,VIP
1120,M037058203,General
1121,M037061429,General
1122,M037098558,General
1123,M037101207,VIP
1124,M037171700,General
1125,M037198678,General
1126,M037254908,General
1127,M037376500,General
1128,M037392688,VIP
1129,M037404866,General
1130,M037453165,General
1131,M037461825,VIP
1132,M037518286,General
1133,M037532132,General
1134,M037536150,General
1135,M037548474,VIP
1136,M037549585,General
1137,M037632859,General
1138,M037658062,General
1139,M037663353,General
1140,M037696259,General
1141,M037702262,VIP
1142,M037710479,MVG
1143,M037774440,General
1144,M037835065,General
1145,M037896044,General
1146,M037911118,VIP
1147,M038018531,General
1148,M038025013,General
1149,M038060968,General
1150,M038082268,General
1151,M038137438,VIP
1152,M038142587,General
1153,M038184196,General
1154,M038205099,General
1155,M038211183,General
1156,M038270435,VIP
1157,M038285949,General
1158,M038303829,General
1159,M038315439,General
1160,M038326204,General
1161,M038336563,General
1162,M038376200,General
1163,M038385757,General
1164,M038394637,VIP
1165,M038440469,General
1166,M038517117,General
1167,M038550005,VIP
1168,M038608044,General
1169,M038617186,General
1170,M038626350,VIP
1171,M038657580,General
1172,M038673212,VIP
1173,M038685430,General
1174,M038717640,General
1175,M038749165,VIP
1176,M038770936,General
1177,M038801652,VIP
1178,M038818247,General
1179,M038900544,General
1180,M038949795,General
1181,M038955256,General
1182,M038969076,General
1183,M039032216,General
1184,M039065702,General
1185,M039097406,General
1186,M039097739,VIP
1187,M039143205,General
1188,M039218857,General
1189,M039231123,General
1190,M039242841,General
1191,M039296608,General
1192,M039320884,VIP
1193,M039336482,VIP
1194,M039390128,General
1195,M039451843,General
1196,M039511153,General
1197,M039542742,General
1198,M039582618,General
1199,M039590046,VIP
1200,M039630277,General
1201,M039656170,General
1202,M039679170,VIP
1203,M039693427,General
1204,M039700018,General
1205,M039765618,VIP
1206,M039785719,General
1207,M039838780,General
1208,M039869218,General
1209,M039885076,General
1210,M039902806,VIP
1211,M039964100,General
1212,M039988273,General
1213,M039989707,General
1214,M040166065,General
1215,M040355637,General
1216,M040398827,General
1217,M040435500,General
1218,M040448106,General
1219,M040503216,General
1220,M040573933,General
1221,M040580750,VIP
1222,M040608978,General
1223,M040650306,General
1224,M040706769,General
1225,M040722763,VIP
1226,M040736595,MVG
1227,M040739748,VIP
1228,M040784463,General
1229,M040835613,VIP
1230,M040839977,General
1231,M040864600,General
1232,M040977916,General
1233,M041003585,VIP
1234,M041025546,General
1235,M041029569,General
1236,M041056315,General
1237,M041087256,General
1238,M041148617,General
1239,M041279110,General
1240,M041279403,General
1241,M041303212,MVG
1242,M041414798,General
1243,M041418226,VIP
1244,M041459654,General
1245,M041488263,General
1246,M041542868,VIP
1247,M041547676,General
1248,M041556152,General
1249,M041610233,General
1250,M041646889,General
1251,M041671640,General
1252,M041718011,General
1253,M041756011,General
1254,M041790319,General
1255,M041891659,General
1256,M041910644,VIP
1257,M041916121,General
1258,M041949467,VIP
1259,M041954374,General
1260,M041983263,General
1261,M042081585,General
1262,M042121134,VIP
1263,M042133454,General
1264,M042163216,General
1265,M042212109,VIP
1266,M042286505,General
1267,M042287054,General
1268,M042287457,General
1269,M042307246,General
1270,M042328599,VIP
1271,M042338805,General
1272,M042339319,General
1273,M042346248,General
1274,M042449483,General
1275,M042454285,VIP
1276,M042466129,General
1277,M042486746,General
1278,M042500644,General
1279,M042503442,General
1280,M042513371,General
1281,M042564340,General
1282,M042614283,General
1283,M042631094,General
1284,M042638395,VIP
1285,M042667132,General
1286,M042675840,General
1287,M042677421,General
1288,M042682279,General
1289,M042731273,General
1290,M042737324,VIP
1291,M042745149,General
1292,M042800296,VIP
1293,M042832042,General
1294,M042908859,General
1295,M042916641,General
1296,M043042418,VIP
1297,M043049016,General
1298,M043073198,General
1299,M043104578,General
1300,M043106740,General
1301,M043178960,General
1302,M043183175,General
1303,M043192575,General
1304,M043234752,General
1305,M043242882,General
1306,M043250216,VIP
1307,M043298299,General
1308,M043359884,VIP
1309,M043459226,VIP
1310,M043468507,General
1311,M043493033,General
1312,M043494808,VIP
1313,M043536286,General
1314,M043611542,General
1315,M043626229,General
1316,M043721895,General
1317,M043729143,General
1318,M043748210,General
1319,M043767284,General
1320,M043773338,General
1321,M043793502,VIP
1322,M043804006,General
1323,M043819861,General
1324,M043852162,General
1325,M043873265,General
1326,M043873800,General
1327,M043948711,General
1328,M044037923,General
1329,M044135330,General
1330,M044140320,General
1331,M044172934,General
1332,M044181355,General
1333,M044182143,VIP
1334,M044266966,General
1335,M044288508,General
1336,M044352089,VIP
1337,M044376221,General
1338,M044425533,VIP
1339,M044547101,General
1340,M044626650,General
1341,M044722379,General
1342,M044756724,General
1343,M044772689,General
1344,M044837439,VIP
1345,M044854485,VIP
1346,M044865210,General
1347,M044885220,VIP
1348,M044891394,General
1349,M044901114,VIP
1350,M044905436,General
1351,M044948857,General
1352,M044972327,General
1353,M045055866,General
1354,M045125256,General
1355,M045210756,General
1356,M045220507,General
1357,M045317761,MVG
1358,M045367365,General
1359,M045416783,General
1360,M045454135,VIP
1361,M045454139,General
1362,M045488618,General
1363,M045518990,General
1364,M045521521,General
1365,M045522081,General
1366,M045574611,General
1367,M045671043,General
1368,M045672107,General
1369,M045677356,VIP
1370,M045719290,General
1371,M045767804,General
1372,M045797634,VIP
1373,M045817767,General
1374,M045874110,VIP
1375,M045913435,General
1376,M045947735,General
1377,M046057112,General
1378,M046079805,General
1379,M046113066,VIP
1380,M046113622,General
1381,M046175292,General
1382,M046204481,General
1383,M046253971,General
1384,M046272236,General
1385,M046283586,VIP
1386,M046316154,General
1387,M046359625,General
1388,M046399581,General
1389,M046409527,VIP
1390,M046486896,General
1391,M046497583,General
1392,M046501505,General
1393,M046521056,General
1394,M046527021,General
1395,M046567517,General
1396,M046613260,General
1397,M046672300,VIP
1398,M046679940,VIP
1399,M046683821,VIP
1400,M046760217,VIP
1401,M046795385,General
1402,M046801765,General
1403,M046817737,VIP
1404,M046912727,General
1405,M046929277,General
1406,M046970885,General
1407,M046979611,General
1408,M046984024,General
1409,M046984192,VIP
1410,M046990525,General
1411,M046992494,General
1412,M047020269,General
1413,M047104358,General
1414,M047116387,General
1415,M047189441,General
1416,M047262601,VIP
1417,M047264703,General
1418,M047346001,General
1419,M047369323,General
1420,M047382024,VIP
1421,M047394313,VIP
1422,M047400513,General
1423,M047454279,General
1424,M047458702,General
1425,M047473980,VIP
1426,M047501942,General
1427,M047606716,VIP
1428,M047607540,General
1429,M047613038,General
1430,M047616615,VIP
1431,M047617436,General
1432,M047623676,General
1433,M047643970,MVG
1434,M047661782,VIP
1435,M047678783,MVG
1436,M047743660,General
