cust,ma_fem_dv,ages,zon_hlv,grade
M009664307,0,2,10,General
M009682567,0,2,17,General
M009723110,1,2,13,General
M009729859,0,3,17,General
M009731870,0,5,17,VIP
M009754131,0,2,4,General
M009962161,1,2,12,VIP
M009979598,0,1,10,General
M009983001,1,4,10,General
M010031285,0,1,16,General
M010034420,0,3,15,General
M010037014,1,0,16,VIP
M010043769,0,3,10,General
M010049359,1,2,10,General
M010053498,0,1,10,General
M010063401,0,3,5,General
M010068705,1,1,14,General
M010080814,0,4,16,General
M010089323,1,3,17,General
M010141777,0,1,4,General
M010224238,1,3,8,General
M010259055,0,2,4,General
M010288392,0,5,10,General
M010337779,0,0,3,General
M010379936,0,2,11,General
M010423314,0,3,4,General
M010430064,1,1,14,General
M010578364,0,3,17,General
M010595795,1,2,9,General
M010597817,0,3,4,General
M010674880,1,3,10,General
M010722296,1,1,17,General
M010760292,0,1,10,VIP
M010805061,0,1,12,General
M010913491,1,3,10,General
M010965707,0,1,10,General
M010967394,0,3,11,General
M010994337,1,2,5,General
M011057762,1,3,2,General
M011062562,1,3,16,General
M011166824,0,5,17,General
M011187683,0,2,17,VIP
M011200568,1,2,12,General
M011220106,0,1,4,General
M011262591,0,2,10,VIP
M011283774,0,1,10,General
M011493552,0,0,17,General
M011495510,1,4,3,General
M011501123,0,1,16,General
M011501995,0,2,7,General
M011527521,0,1,5,MVG-Crown
M011543777,0,3,17,General
M011663757,1,3,17,General
M011685716,0,0,17,General
M011690584,1,2,1,General
M011706752,0,1,12,General
M011808737,0,3,17,General
M011829462,0,2,8,General
M011946286,0,3,17,General
M011970152,0,3,17,General
M012027846,0,3,11,General
M012046118,1,1,12,General
M012085309,0,2,5,General
M012096174,1,3,17,General
M012121265,1,5,10,General
M012197943,0,2,10,General
M012216253,0,2,17,General
M012229902,1,2,17,General
M012265036,1,2,16,General
M012312404,1,1,16,General
M012342829,1,3,8,General
M012346404,0,1,4,General
M012350286,1,1,10,General
M012391977,0,3,13,General
M012438441,0,4,4,General
M012619532,0,3,11,General
M012620244,0,1,15,General
M012642797,0,1,10,General
M012673791,0,2,16,VIP
M012732690,1,2,17,General
M012767779,0,2,17,VIP+
M012778138,1,1,17,General
M012800908,0,2,12,General
M012833776,1,1,10,General
M012846338,0,2,11,General
M012857373,0,4,10,General
M012936022,0,1,17,VIP
M012955173,0,2,4,General
M013069595,1,2,17,General
M013090322,0,3,17,General
M013124981,0,0,10,General
M013178107,1,2,10,General
M013256049,0,2,10,General
M013276696,0,3,10,VIP+
M013285074,0,0,9,VIP
M013366941,0,3,6,General
M013398724,1,0,17,General
M013414665,0,1,10,VIP
M013587825,1,2,10,General
M013639641,1,2,11,General
M013684099,0,2,13,General
M013700307,0,2,10,General
M013769296,0,0,17,General
M013796485,0,3,17,General
M013839762,1,1,17,General
M013849448,0,2,8,General
M013922952,0,1,11,VIP
M013938777,0,2,10,General
M013962648,0,1,8,General
M014008347,0,2,17,VIP
M014035745,0,2,10,General
M014070401,1,1,10,General
M014075207,0,3,17,General
M014090492,1,4,2,General
M014182354,1,0,10,General
M014275222,0,2,17,VIP+
M014292351,0,0,17,General
M014293224,1,1,15,General
M014321937,0,4,10,VIP
M014339861,0,2,17,VIP+
M014340605,1,2,10,General
M014382968,0,1,16,General
M014383657,1,4,17,General
M014405668,0,0,11,General
M014429367,1,0,17,General
M014467656,1,3,3,VIP+
M014498295,0,3,8,General
M014583713,1,1,10,VIP+
M014591324,0,3,14,General
M014601678,0,1,10,VIP
M014747239,0,2,10,VIP
M014747434,0,1,10,General
M014792007,0,1,13,General
M014836999,0,1,4,General
M014905326,1,2,15,General
M014906758,0,4,4,General
M014972107,0,3,17,General
M015013029,0,1,17,General
M015042346,0,3,16,VIP
M015046115,1,2,13,General
M015048162,1,4,10,General
M015093664,0,2,17,General
M015178683,0,2,11,General
M015213177,1,1,10,General
M015257959,0,1,17,General
M015281716,0,3,13,General
M015325650,0,1,10,VIP+
M015329772,0,4,16,General
M015353566,0,1,5,General
M015393009,0,2,17,VIP
M015430351,0,3,17,VIP+
M015471763,0,2,16,VIP
M015481747,0,1,11,General
M015491572,1,1,10,General
M015518376,0,3,17,General
M015539270,0,2,16,VIP+
M015550030,1,4,10,General
M015584897,0,2,8,VIP
M015605443,0,3,17,General
M015614508,1,0,10,General
M015639704,0,3,4,General
M015650164,0,4,10,VIP
M015674072,0,2,10,General
M015674351,1,1,15,General
M015750998,0,2,16,VIP
M015851779,0,2,17,VIP+
M015853886,0,2,15,General
M015868074,1,1,17,General
M015892198,0,2,16,VIP+
M015999293,1,1,12,General
M016004710,0,4,16,VIP+
M016061527,0,2,8,General
M016070523,0,2,8,VIP
M016178075,0,2,4,General
M016223791,0,3,17,General
M016296091,1,1,10,General
M016309518,0,1,17,General
M016312977,1,0,4,VIP
M016327288,0,1,12,General
M016387478,1,2,17,General
M016404339,1,1,10,MVG-Ace
M016456656,0,4,10,VIP
M016516620,1,1,10,General
M016532707,1,0,10,General
M016538312,0,1,9,General
M016546099,0,3,15,General
M016570251,0,2,4,VIP
M016614801,1,1,10,General
M016631704,0,2,17,General
M016670146,0,2,6,General
M016695423,0,2,15,General
M016698917,0,2,8,General
M016707093,0,1,17,General
M016713031,0,4,16,General
M016751224,1,3,17,VIP
M016764179,0,2,10,MVG-Ace
M016803268,0,3,9,VIP
M016813663,0,2,4,General
M016815450,1,0,10,General
M016822877,0,2,17,General
M016827017,0,2,17,General
M016843749,0,2,10,VIP+
M016930208,0,0,10,General
M016938458,0,3,17,General
M016999679,0,3,10,General
M017031701,1,1,10,General
M017047083,1,0,9,General
M017054670,0,2,2,General
M017162881,1,2,3,General
M017173158,0,2,17,General
M017209259,1,2,10,General
M017248460,0,0,11,VIP
M017256273,0,0,11,General
M017276201,0,4,17,General
M017298162,1,2,1,General
M017367216,1,3,3,General
M017401296,0,3,13,VIP
M017410771,1,1,11,General
M017453314,0,1,17,General
M017524395,0,0,13,General
M017535243,1,2,10,General
M017593881,1,4,5,General
M017599071,0,1,10,General
M017628008,0,2,17,General
M017676375,0,1,17,General
M017696878,0,2,12,General
M017726470,0,2,17,General
M017824413,0,1,17,General
M017842861,1,2,17,General
M017850235,1,2,17,VIP
M017850981,0,4,5,General
M017866824,1,2,17,General
M017874504,0,1,12,General
M018025268,1,1,5,General
M018036249,0,4,17,General
M018078477,1,0,10,General
M018155432,0,1,9,General
M018156864,0,2,17,General
M018184823,1,1,16,VIP
M018261698,0,2,11,VIP+
M018268015,0,1,8,General
M018305555,1,1,17,General
M018340302,0,3,4,VIP
M018342371,0,1,6,General
M018348504,1,1,9,General
M018360997,0,1,10,General
M018442661,0,0,4,General
M018522655,0,2,17,General
M018701446,1,5,17,General
M018707229,1,3,10,General
M018731304,0,3,10,General
M018753576,1,3,10,General
M018754345,0,1,6,General
M018766425,1,2,5,General
M018808846,0,2,17,General
M018819867,0,0,6,General
M018846875,1,2,17,General
M018901562,1,1,16,General
M018935019,0,2,1,General
M019031965,1,5,10,General
M019134553,0,4,4,General
M019156129,0,3,4,VIP
M019170381,0,0,13,General
M019237374,0,0,10,General
M019308314,0,4,10,General
M019337379,0,1,10,General
M019386820,0,1,10,MVG-Ace
M019397226,0,3,17,General
M019435246,0,4,13,General
M019452996,1,3,9,General
M019502719,0,2,16,VIP+
M019514257,0,0,10,General
M019533835,1,4,10,General
M019613659,1,0,17,General
M019641016,0,2,10,General
M019728616,0,1,10,VIP
M019745851,0,1,12,General
M019822754,1,2,17,VIP
M019831429,1,1,17,General
M019905252,1,3,10,MVG-Crown
M019989627,0,2,16,VIP
M020007167,0,4,9,General
M020017034,0,2,15,General
M020072450,1,0,1,General
M020104311,1,1,17,VIP
M020136767,0,2,16,General
M020145678,0,2,4,VIP
M020155133,0,1,17,General
M020188561,0,1,10,General
M020192002,1,1,17,General
M020223570,0,2,6,General
M020274058,0,2,10,General
M020367923,0,0,6,General
M020401799,0,3,10,General
M020441037,1,0,16,General
M020510636,1,0,3,General
M020511179,0,3,10,General
M020530140,1,1,17,VIP
M020535871,0,1,9,General
M020552991,0,1,4,General
M020573391,0,1,10,VIP
M020574683,0,1,11,General
M020639299,0,3,4,General
M020657632,1,3,16,General
M020664921,0,2,10,MVG-Ace
M020675585,0,1,17,General
M020700819,0,2,17,VIP
M020734806,0,1,17,General
M020795432,0,2,4,VIP
M020835170,1,2,12,General
M020850597,0,3,17,General
M020870342,0,2,13,VIP
M020881880,0,1,14,General
M020900840,0,2,13,General
M020915056,0,1,17,General
M020920877,0,0,17,General
M020941854,0,0,17,General
M020969961,1,1,10,VIP+
M020977961,0,1,11,VIP
M020987809,0,1,17,General
M021025382,0,1,11,General
M021109366,0,2,12,General
M021121027,1,2,7,VIP+
M021121896,1,1,17,MVG-Ace
M021136955,1,2,17,VIP+
M021189164,1,3,10,General
M021191866,0,1,16,VIP
M021198377,0,2,10,General
M021297222,0,2,11,General
M021317194,0,3,3,VIP
M021341630,0,2,7,General
M021362980,1,2,1,General
M021396553,0,2,11,General
M021474932,0,2,1,General
M021495045,0,2,14,VIP+
M021507456,0,0,17,VIP
M021533416,0,5,17,General
M021569505,0,2,10,General
M021576921,0,3,10,VIP
M021577879,0,2,10,VIP
M021593104,0,0,17,General
M021677178,1,2,17,VIP
M021715268,0,3,10,General
M021735870,0,2,6,General
M021772399,0,2,17,VIP
M021817063,0,3,8,VIP
M021824776,0,3,5,General
M021847345,0,1,10,General
M021920032,1,4,10,General
M021936535,1,3,10,General
M021951856,1,2,6,General
M022068499,0,4,10,General
M022073107,0,1,10,General
M022075031,1,4,6,General
M022102008,0,2,3,VIP+
M022108117,0,2,8,General
M022143999,0,2,13,VIP
M022153719,1,3,10,General
M022193612,1,2,17,VIP+
M022201881,0,3,5,VIP
M022273469,0,4,11,General
M022308297,0,2,17,General
M022342109,0,2,10,General
M022366822,0,3,10,General
M022402686,0,2,13,VIP
M022417877,0,5,10,General
M022469976,0,0,17,VIP
M022498408,1,1,12,General
M022554382,0,0,11,General
M022588376,1,0,11,General
M022593460,0,0,3,General
M022594017,1,2,10,General
M022648018,0,2,10,General
M022761259,1,2,10,General
M022778821,0,3,11,General
M022819899,0,1,6,General
M022824889,0,2,6,General
M022877164,0,2,10,General
M022878298,1,5,10,General
M022900850,0,3,17,VIP
M022937718,1,2,6,General
M022965652,1,0,15,General
M023047390,0,2,17,MVG-Ace
M023095066,1,2,10,General
M023118090,0,2,2,General
M023140765,1,3,13,VIP+
M023151514,0,1,10,General
M023161374,0,3,5,General
M023220838,0,2,4,VIP
M023259393,1,5,10,General
M023302378,0,3,13,General
M023307270,0,5,17,General
M023327832,0,1,12,General
M023350361,0,2,14,VIP
M023391241,1,2,17,General
M023448256,0,2,17,General
M023505680,0,0,4,General
M023524803,0,1,17,General
M023543251,0,0,16,General
M023568421,0,3,17,General
M023577934,0,1,17,General
M023605710,0,2,10,VIP
M023634056,0,1,10,General
M023780709,0,4,10,MVG-Ace
M023783485,1,3,17,VIP
M023794546,0,1,10,General
M023903382,0,1,10,General
M024021313,0,1,10,General
M024043426,1,1,14,General
M024053870,0,3,13,VIP
M024101254,0,2,11,VIP+
M024115249,0,2,17,General
M024139053,1,2,6,VIP
M024196345,0,1,17,General
M024198905,0,1,16,VIP
M024226272,1,1,10,VIP
M024255025,1,2,10,VIP
M024323210,0,2,13,General
M024350907,0,2,1,General
M024360607,0,1,17,General
M024373763,0,3,17,General
M024460495,1,1,17,General
M024520217,1,3,7,VIP
M024539218,0,4,3,General
M024617970,0,4,13,MVG-Ace
M024659867,0,1,10,General
M024667485,0,2,13,VIP
M024680744,1,1,13,General
M024704619,0,2,10,General
M024705259,0,3,10,General
M024707748,1,1,17,General
M024729877,0,1,11,General
M024807991,0,5,4,General
M024834869,0,2,13,General
M024892593,0,3,10,General
M024953107,0,2,10,General
M024955555,1,2,4,General
M024971109,1,0,17,VIP+
M024975458,0,0,10,General
M025002452,0,2,11,General
M025020244,1,3,10,General
M025031557,0,3,4,General
M025054375,0,2,10,General
M025106048,1,0,17,General
M025168868,0,2,17,General
M025179887,0,0,10,General
M025187259,1,1,15,General
M025301986,0,2,10,VIP
M025305485,0,5,10,General
M025464904,0,3,16,General
M025467166,0,3,10,VIP+
M025530406,0,4,10,General
M025561619,0,1,17,General
M025633773,1,2,9,General
M025636972,0,3,11,General
M025642777,0,0,17,General
M025657860,0,2,10,General
M025688454,0,2,5,VIP
M025713424,0,3,17,General
M025724477,0,2,10,VIP+
M025834177,1,3,11,General
M025850479,1,3,17,General
M025928303,1,1,17,VIP
M025945947,0,4,10,General
M025977047,1,3,17,General
M025990278,0,3,17,General
M026084857,0,2,10,General
M026140044,0,0,17,General
M026148393,1,4,4,General
M026188014,0,4,17,General
M026227982,1,3,10,General
M026274832,1,2,13,General
M026355888,1,0,1,General
M026406376,1,5,17,General
M026407626,1,5,17,General
M026446747,0,2,11,General
M026451621,0,2,17,General
M026481073,1,1,17,General
M026483725,1,1,17,General
M026489542,0,2,4,General
M026524043,1,1,17,VIP
M026538330,0,2,17,General
M026564713,0,2,7,General
M026579002,0,3,13,General
M026605333,0,4,16,VIP+
M026680290,0,2,4,General
M026692043,0,0,14,General
M026705655,0,2,12,General
M026719997,0,1,2,General
M026730981,0,2,13,General
M026744707,0,2,10,General
M026808752,0,1,10,General
M026840468,1,1,10,General
M026854845,0,1,17,VIP
M026861466,1,0,16,General
M026871462,0,2,10,General
M026904284,1,2,10,General
M026927877,0,4,17,MVG-Ace
M026945106,0,3,17,General
M026968183,0,2,17,General
M027031630,0,1,10,General
M027085418,0,1,6,General
M027174914,1,3,6,General
M027194386,0,2,10,General
M027277498,1,0,4,General
M027358427,1,1,17,General
M027418727,1,5,10,General
M027440421,0,2,17,General
M027441945,0,2,10,MVG-Ace
M027483918,0,2,16,General
M027521755,1,2,10,VIP
M027525051,0,2,10,VIP
M027605185,0,1,4,MVG-Ace
M027647723,1,1,10,General
M027709992,0,2,17,General
M027721697,0,2,13,General
M027745985,0,1,17,General
M027769219,0,2,16,General
M027782745,0,2,17,General
M027801481,1,2,8,General
M027897691,0,1,17,General
M028027752,0,3,16,VIP
M028064953,1,5,17,General
M028068841,1,4,4,General
M028080825,1,3,17,General
M028110926,0,2,17,General
M028123213,0,3,17,General
M028131322,0,2,17,General
M028175841,0,3,10,General
M028178592,0,1,13,General
M028204215,0,2,15,General
M028291764,1,0,16,MVG-Ace
M028328677,1,2,3,General
M028358759,0,0,11,General
M028383773,0,4,4,General
M028439490,1,2,17,General
M028454024,0,2,10,General
M028494831,1,2,17,General
M028676844,1,2,12,General
M028693648,0,4,16,VIP
M028793753,0,0,17,General
M028828884,0,0,10,General
M028872628,0,1,17,VIP
M028875906,1,1,17,General
M029015400,1,1,10,General
M029023456,0,1,10,General
M029031283,0,1,10,VIP
M029045391,1,1,17,VIP
M029065985,1,3,17,General
M029098701,1,3,17,MVG-Ace
M029127236,0,1,1,General
M029169536,0,2,16,General
M029206865,0,2,16,General
M029267611,0,1,10,General
M029271593,0,2,10,General
M029278038,0,0,10,General
M029288128,0,2,16,General
M029303850,0,3,10,General
M029304628,0,2,5,General
M029331815,1,0,17,General
M029375271,0,2,10,General
M029390229,1,4,16,General
M029434140,0,1,13,General
M029436227,0,0,4,General
M029455769,0,2,11,MVG-Ace
M029466915,1,2,14,General
M029472955,1,1,13,General
M029478403,0,2,9,General
M029513065,1,2,11,General
M029535462,0,3,17,General
M029557380,1,3,10,VIP
M029587621,0,3,8,General
M029625017,0,2,17,MVG-Ace
M029668918,1,3,17,VIP+
M029687828,1,1,10,General
M029735598,0,2,17,General
M029758319,1,1,13,VIP
M029877095,0,2,14,General
M030035289,0,3,16,General
M030043636,1,3,17,General
M030085343,0,0,11,General
M030122779,1,3,17,General
M030146466,0,0,17,General
M030195680,0,2,17,General
M030238944,0,3,1,VIP
M030330113,0,0,12,General
M030367292,0,3,17,General
M030383189,1,1,10,VIP
M030394348,0,0,16,General
M030424405,1,3,10,General
M030462773,0,1,17,General
M030477840,0,1,16,VIP+
M030561105,0,1,17,General
M030573362,0,5,16,General
M030608693,0,3,16,General
M030716505,1,1,15,General
M030751344,0,2,10,General
M030809402,0,4,10,General
M030815912,0,2,4,General
M030872242,1,2,13,General
M030879296,0,1,10,General
M030915178,0,0,10,General
M030918245,0,4,10,General
M030919358,0,1,17,General
M030959068,0,4,10,General
M030971111,0,0,7,General
M030996048,0,1,10,General
M031007506,0,1,15,General
M031044756,1,3,17,General
M031051255,1,0,3,General
M031064579,0,2,12,VIP
M031090387,0,1,17,VIP+
M031092903,0,2,17,General
M031111212,0,4,11,General
M031123747,0,4,10,General
M031139531,0,2,10,VIP
M031140733,0,3,10,General
M031193983,0,2,8,General
M031310236,0,3,16,VIP
M031322959,1,2,17,General
M031435620,1,5,10,General
M031495462,1,4,5,General
M031564686,0,5,6,General
M031566764,1,1,10,VIP+
M031568194,1,1,13,General
M031598024,0,2,10,VIP
M031604439,0,2,5,General
M031642329,1,3,10,General
M031662181,0,1,17,General
M031687336,0,2,11,General
M031700216,0,2,17,VIP+
M031704059,0,2,17,VIP+
M031722049,0,3,10,General
M031744079,1,0,17,General
M031925364,0,0,16,General
M031983799,0,0,10,General
M032032611,0,1,17,General
M032125275,0,1,5,General
M032127141,0,1,17,General
M032138531,0,3,17,VIP+
M032178607,0,3,4,General
M032229908,0,4,4,VIP+
M032253053,0,2,9,General
M032297192,1,2,17,General
M032346209,0,3,17,General
M032503405,0,1,9,General
M032536059,0,1,10,General
M032575952,0,1,12,General
M032576038,1,1,4,General
M032586356,0,1,17,General
M032656591,0,2,10,General
M032694772,0,1,17,General
M032724385,1,3,17,General
M032728003,0,1,10,General
M032778301,1,1,13,General
M032838649,0,2,11,General
M032895354,0,1,8,VIP
M032911167,0,3,10,General
M032951594,0,3,16,General
M032979283,1,3,2,General
M033099709,0,1,17,General
M033212196,0,0,10,VIP
M033269717,1,1,10,General
M033295256,0,2,10,General
M033329896,0,4,6,General
M033359360,0,3,16,General
M033363000,0,2,10,General
M033447708,0,2,15,General
M033480950,0,2,10,VIP+
M033482606,1,1,17,General
M033510547,0,2,10,General
M033586214,1,0,17,General
M033599811,0,2,13,General
M033634119,0,1,17,General
M033704434,0,2,17,General
M033741697,0,0,6,General
M033756635,1,2,10,General
M033865209,0,1,16,General
M033889224,0,2,10,General
M033912628,0,1,17,General
M033924307,0,3,17,General
M033954349,0,4,1,General
M033975838,1,1,10,VIP
M034007696,0,1,4,General
M034054317,0,1,10,General
M034122687,1,3,13,General
M034172556,0,3,10,General
M034192667,1,2,4,General
M034251158,1,2,17,VIP+
M034266454,1,2,10,VIP
M034266932,0,3,10,General
M034298304,0,2,17,VIP+
M034343473,0,3,9,VIP
M034346877,1,1,4,General
M034382564,0,3,10,VIP+
M034403548,1,2,17,General
M034424610,0,1,9,General
M034436789,0,1,17,General
M034463211,0,2,10,General
M034466389,1,2,3,General
M034503770,0,2,10,General
M034534306,1,2,17,General
M034690181,0,1,11,General
M034775336,0,0,17,General
M034815737,0,2,10,General
M034857155,0,3,17,General
M034887889,1,2,8,General
M034888674,0,2,10,General
M034908290,0,1,16,VIP+
M034936927,0,4,17,VIP+
M034964840,0,2,16,General
M035037103,1,0,4,VIP
M035087727,0,3,13,General
M035100917,0,2,13,General
M035144357,0,0,10,General
M035253526,0,2,15,General
M035270893,0,3,17,General
M035371925,1,2,13,General
M035414576,1,2,12,General
M035450677,0,2,5,General
M035470647,1,1,16,VIP+
M035484548,1,4,10,General
M035502859,0,2,16,MVG-Prestige
M035547728,0,2,11,VIP+
M035550313,0,1,3,General
M035551031,0,2,6,General
M035569171,1,0,17,General
M035569749,1,2,1,General
M035623555,0,2,10,VIP+
M035624417,0,1,10,General
M035670981,1,2,14,General
M035733626,0,3,15,General
M035734589,0,2,10,General
M035747703,1,2,16,General
M035857673,1,1,17,VIP
M035899958,0,2,17,VIP
M035901988,0,3,10,General
M035932685,0,1,17,General
M035934590,0,4,17,General
M035975411,0,2,17,General
M035979715,0,2,13,VIP
M036019761,0,0,6,General
M036028013,0,1,10,VIP
M036047628,0,2,17,General
M036069351,0,1,15,General
M036071135,0,2,11,VIP
M036206413,1,0,7,General
M036218468,0,3,11,VIP+
M036361504,0,2,10,General
M036380438,1,1,10,General
M036450833,0,4,4,General
M036526215,1,1,5,General
M036532454,0,4,9,General
M036537409,0,0,10,General
M036640100,0,3,10,General
M036665765,0,0,17,General
M036668648,0,1,10,General
M036670906,1,2,17,VIP
M036742669,0,5,4,General
M036787846,0,2,17,VIP
M036817156,1,2,10,General
M036850842,1,2,11,General
M036853711,0,2,10,MVG-Crown
M036874001,0,2,17,General
M036895978,0,1,6,VIP+
M036960692,0,3,9,General
M036973210,1,3,14,VIP
M037058203,0,2,10,General
M037061429,0,1,6,General
M037098558,0,0,6,General
M037101207,0,3,10,VIP
M037171700,0,2,10,General
M037198678,1,3,17,General
M037254908,1,2,17,General
